# Generated by tools/nelisp-c-primitive-census.sh -- do not hand-edit.
# 2026-09-21 | standalone=../nelisp-wt-segG1/target/nelisp | emacs=GNU Emacs 31.1
# c-primitives=1481 present=382 native=90 interpreted=292 absent=1099
#
# name	state	score	agent	vendor
%	interpreted	168	56	0
*	interpreted	1873764	624588	0
+	interpreted	390	130	0
-	interpreted	648	216	0
/	interpreted	1599	533	0
/=	interpreted	123	41	0
1+	interpreted	162	54	0
1-	interpreted	225	75	0
<	interpreted	1575	525	0
<=	interpreted	777	259	0
=	interpreted	2040	680	0
>	interpreted	1557	519	0
>=	interpreted	414	138	0
Snarf-documentation	absent	0	0	0
abort-minibuffers	absent	0	0	0
abort-recursive-edit	absent	0	0	0
abs	interpreted	69	23	0
accept-process-output	interpreted	6	2	0
access-file	absent	0	0	0
accessible-keymaps	absent	0	0	0
acos	absent	0	0	0
active-minibuffer-window	absent	0	0	0
add-face-text-property	absent	0	0	0
add-name-to-file	absent	0	0	0
add-text-properties	absent	0	0	0
add-variable-watcher	absent	0	0	0
all-completions	absent	0	0	0
all-threads	absent	0	0	0
and	interpreted	3711	1237	0
append	native	735	245	0
apply	interpreted	204	68	0
aref	native	2892	964	0
arrayp	interpreted	0	0	0
aset	native	1584	528	0
ash	native	117	39	0
asin	absent	0	0	0
assoc	native	72	24	0
assoc-string	interpreted	0	0	0
assq	native	1452	484	0
atan	absent	0	0	0
atom	native	0	0	0
autoload	absent	0	0	0
autoload-do-load	absent	0	0	0
backtrace--frames-from-thread	absent	0	0	0
backtrace--locals	absent	0	0	0
backtrace-debug	absent	0	0	0
backtrace-eval	absent	0	0	0
backtrace-frame--internal	absent	0	0	0
backward-char	absent	0	0	0
backward-prefix-chars	absent	0	0	0
bare-symbol	absent	0	0	0
bare-symbol-p	absent	0	0	0
barf-if-buffer-read-only	absent	0	0	0
base64-decode-region	absent	0	0	0
base64-decode-string	interpreted	0	0	0
base64-encode-region	absent	0	0	0
base64-encode-string	interpreted	0	0	0
base64url-encode-region	absent	0	0	0
base64url-encode-string	absent	0	0	0
beginning-of-line	interpreted	0	0	0
bidi-find-overridden-directionality	absent	0	0	0
bidi-resolved-levels	absent	0	0	0
bitmap-spec-p	absent	0	0	0
bobp	interpreted	0	0	0
bolp	interpreted	0	0	0
bool-vector	native	0	0	0
bool-vector-count-consecutive	interpreted	0	0	0
bool-vector-count-population	interpreted	0	0	0
bool-vector-exclusive-or	interpreted	0	0	0
bool-vector-intersection	interpreted	0	0	0
bool-vector-not	interpreted	0	0	0
bool-vector-p	native	3	1	0
bool-vector-set-difference	interpreted	0	0	0
bool-vector-subsetp	interpreted	0	0	0
bool-vector-union	interpreted	0	0	0
boundp	native	6	2	0
buffer-base-buffer	absent	0	0	0
buffer-chars-modified-tick	absent	0	0	0
buffer-enable-undo	absent	0	0	0
buffer-file-name	interpreted	0	0	0
buffer-hash	absent	0	0	0
buffer-last-name	absent	0	0	0
buffer-line-statistics	absent	0	0	0
buffer-list	absent	0	0	0
buffer-live-p	interpreted	24	8	0
buffer-local-toplevel-value	absent	0	0	0
buffer-local-value	interpreted	0	0	0
buffer-local-variables	absent	0	0	0
buffer-modified-p	absent	0	0	0
buffer-modified-tick	absent	0	0	0
buffer-name	interpreted	0	0	0
buffer-size	interpreted	15	5	0
buffer-string	interpreted	75	25	0
buffer-substring	interpreted	0	0	0
buffer-substring-no-properties	interpreted	9	3	0
buffer-swap-text	absent	0	0	0
buffer-text-pixel-size	absent	0	0	0
bufferp	interpreted	3	1	0
bury-buffer-internal	absent	0	0	0
byte-code	absent	0	0	0
byte-code-function-p	interpreted	6	2	0
byte-to-position	absent	0	0	0
byte-to-string	absent	0	0	0
byteorder	absent	0	0	0
call-interactively	absent	0	0	0
call-last-kbd-macro	absent	0	0	0
call-process	interpreted	0	0	0
call-process-region	absent	0	0	0
cancel-kbd-macro-events	absent	0	0	0
capitalize	interpreted	0	0	0
